"Cusip","Cusip.A"
"000305AA","f967fdad"
"000305AB","7ff38f03"
"000305AC","b4af5ca6"
"000361AP","c6bd5be3"
"000361AQ","de18846"
"000361AS","4029294d"
"00080JAA","74f78566"
"00081DAA","76068317"
"00081TAA","abdb23c"
"00081TAB","8c29c092"
"00081TAC","47751337"
"00081TAD","5a70238f"
"00081TAH","2db2e3f4"
"00081TAJ","607a42ff"
"00087EAA","c9b6fa03"
"00088JAA","cf2f277e"
"00088JAB","49bb55d0"
"000945AA","b3a93c68"
"000945AB","353d4ec6"
"000983AA","93f2c6fb"
"00101DAA","a45f1c23"
"00101JAE","2a444c07"
"00101JAF","acd03ea9"
"00101JAG","678ced0c"
"00101JAH","96da5fd9"
"00101JAJ","db12fed2"
"00101JAK","104e2d77"
"00101JAL","d4b1dcf"
"00101JAM","c617ce6a"
"00101LAA","77ba0796"
"00101NAB","b30b7245"
"001020AA","b5c8bf8c"
"001031AC","23d10a5a"
"001031AD","3ed43ae2"
"001031AF","731c9be9"
"001031AG","b840484c"
"001031AH","4916fa99"
"00103XAC","ec75b1ca"
"00103YAE","f6865249"
"00103YAF","701220e7"
"00104AAB","20bc25a6"
"00104BAC","656ff1e0"
"00104BAF","35a26053"
"00104CAA","e40d5075"
"00104QAB","5c07148d"
"00104VAA","d0566f3a"
"00105DAA","f9b34d2f"
"00105DAB","7f273f81"
"00105PAA","14272fe"
"00105RAA","43677583"
"001084AD","f461aa5b"
"001084AG","72f5d8f5"
"001084AN","55fa893d"
"001084AQ","a77a3973"
"00126VAA","fa559781"
"00126VAB","7cc1e52f"
"00130HAD","5f71379f"
"00130HAG","d9e54531"
"00130HAK","ae27854a"
"00130HAL","b322b5f2"
"00130HAP","c7367712"
"00130HAQ","c6aa4b7"
"00130HAT","5ca73504"
"00130HAU","97fbe6a1"
"00130HAV","116f940f"
"00130HAW","da3347aa"
"00130HAX","2b65f57f"
"00130HBA","3e54bcb1"
"00130HBB","b8c0ce1f"
"00130HBC","739c1dba"
"00130HBF","23518c09"
"00130HBH","195bed79"
"00130HBJ","54934c72"
"00130HBL","82caaf6f"
"00130HBM","49967cca"
"00130HBN","cf020e64"
"00130HBP","f6de6d8f"
"00130HBQ","3d82be2a"
"00130HBR","bb16cc84"
"00130HBS","704a1f21"
"00130HBT","6d4f2f99"
"00130HBU","a613fc3c"
"00130HBW","ebdb5d37"
"00130HBX","1a8defe2"
"00130HBY","d1d13c47"
"00130HBZ","57454ee9"
"00130HCA","9823b705"
"00150LAA","86e8d891"
"001546AA","e69404c5"
"001546AC","ab5ca5ce"
"001546AE","7d0546d3"
"001546AF","fb91347d"
"001546AG","30cde7d8"
"001546AL","5a0a171b"
"001546AM","9156c4be"
"001546AQ","e542065e"
"001546AR","63d674f0"
"001546AS","a88aa755"
"001546AT","b58f97ed"
"001546AU","7ed34448"
"001546AV","f84736e6"
"00154MAB","913afbad"
"001623AA","3659c828"
"001623AB","b0cdba86"
