"Ticker","Ticker.A"
"AA","246a0b27"
"AAC","5899ff6"
"AACGRP","748ac7ef"
"AACI","d9953649"
"AACN","c49006f1"
"AAGLF","1aa6ec9d"
"AAII","7de56907"
"AAIR","14f49b5f"
"AAL","f4df2d23"
"AALLN","ab9f72a6"
"AAP","80cbefc3"
"AAPL","df6e21a9"
"AASCC","44d23216"
"ABC","3461856b"
"ABCD","eb842274"
"ABCSUP","a2eb7db3"
"ABD","2964b5d3"
"ABEGET","d54fe530"
"ABF","64ac14d8"
"ABG","aff0c77d"
"ABGSM","d87accbc"
"ABH","5ea675a8"
"ABIZ","76281ed1"
"ABN","88ff96b5"
"ABP","b123f55e"
"ABS","37b787f0"
"ABY","962ca496"
"ACACN","e8243f18"
"ACASPO","c367a1e2"
"ACCINC","40c9836f"
"ACCO","4de9d229"
"ACCOBR","898c31a2"
"ACCOR","19b590f1"
"ACEHAR","c1bb5bac"
"ACF","c2db1f6c"
"ACHC","382c46a8"
"ACI","338dadb9"
"ACINDA","369afead"
"ACIW","61c0d91"
"ACLI","6df841dd"
"ACM","a81cefaf"
"ACMETE","ca536d2f"
"ACMP","ef56193a"
"ACOM","c7811956"
"ACOSTA","c5e03f13"
"ACP","1754feea"
"ACS","91c08c44"
"ACURID","66609bdf"
"ACUZ","1afce8f5"
"ACW","a51ce52"
"ADAGRO","4ed59463"
"ADAMS","633238c9"
"ADGLHO","a30b323f"
"ADLAC","3c4145f7"
"ADLAE","ea18a6ea"
"ADLT","d8755981"
"ADNT","4fea48a8"
"ADO","2073702a"
"ADSI","f6aba4e3"
"ADSL","a6663550"
"ADSWST","7f3e3653"
"ADT","49628272"
"ADVANS","94718606"
"ADVDIR","d26a6549"
"ADVGLA","8b9f3d38"
"ADVHLD","272be27"
"ADVP","804ad817"
"AEAROC","e487fd67"
"AEE","279f58f8"
"AEN","4d58a83b"
"AEPI","be9bee0"
"AER","394c6adb"
"AES","f210b97e"
"AESDOM","e66fce4c"
"AESEAS","4326d664"
"AESIRN","fdf7543d"
"AESK","77c90576"
"AESKE","fc88ce60"
"AESRED","dfc4f866"
"AETC","5e3db995"
"AETINC","8576dc90"
"AFCE","a492ff2b"
"AFCENT","ef9c6f47"
"AFFGAM","35bf0ecf"
"AFFGRP","dcc199d9"
"AFFIN","c062c00"
"AFFINI","4dec2e02"
"AFFNEW","7cf2100a"
"AFG","5bbfe36e"
"AFGR","4e0ee91b"
"AFI","61b5821e"
"AFKSRU","85b2d0ec"
"AFM","fa24c008"
"AFRLN","a6cf3c76"
"AFS","c3f8a3e3"
"AG","f233e83a"
"AGACN","b5c86e14"
"AGCC","be611ca8"
"AGCO","c9a3dcd3"
"AGCX","d770eef0"
"AGI","c7c289aa"
"AGICN","662d75a1"
"AGILE","faa2f58b"
"AGLIM","c295625"
"AGP","e31bdaf9"
"AGTC","1c18bee8"
"AGUILA","4cafa8cc"
"AGY","c4148b31"
"AGYH","17082feb"
"AGYS","7e19ddb3"
"AH","3655aef"
"AHC","9011da25"
"AHEREN","547b6b4b"
"AHERN","2f923845"
"AHG","b809833"
"AHI","318af943"
"AHMSA","ab569a91"
"AHOLD","2828e078"
"AHPHPI","77b4c247"
"AHS","93c7d8be"
"AHTLN","a862ee63"
"AIMC","fbd475c7"
"AIMEGR","95944996"
"AIQ","78787201"
"AIR","feec00af"
"AIRBUS","d735936d"
"AIRCAN","37463a6b"
"AIRM","5048f890"
"AIRXCL","ccc0a734"
"AJECBV","cabd34bb"
"AJRD","f9c8aebb"
"AK","85f12841"
"AKCOMM","9e93b1f1"
"AKIHLD","8000680a"
"AKS","a22fc223"
"ALADDI","1da999d"
"ALBECC","90c1b82e"
"ALBHSA","21d2903a"
"ALBLLC","79c6d3ec"
"ALCOUC","12741951"
"ALDAR","9cf62d64"
"ALERIS","2578b000"
"ALESTR","24879e35"
"ALG","ffcfbc20"
"ALGCN","f1f2f94e"
"ALGSCO","174005b6"
"ALGT","99716ce"
"ALGX","7e55d6b5"
"ALISCI","9db3d39"
"ALJ","4351affe"
"ALLBRI","32f4deb9"
"ALLE","c31a930a"
"ALLGUS","1dfecfae"
"ALLSYS","22af9a0b"
"ALLY","b70e51ea"
"ALLYD","cead05fe"
"ALMO","c4f6bbd8"
"ALO","139c3e4d"
"ALONRE","2b143748"
"ALPFIN","849699aa"
"ALPNAT","c6d1ed85"
"ALPSHI","bbf9de9"
"ALPTHR","686b66a8"
"ALR","acd42f08"
"ALRM","18a8f6f4"
"ALROSA","87d7db52"
"ALRS","2174951f"
"ALRSRU","92f3b40f"
"ALSK","68861e5d"
"ALSN","384b8fee"
"ALSPVE","fc9e8127"
"ALTFIC","65e4db78"
"ALTFIN","d97ac8a6"
"ALTHBD","6f6cad08"
"ALTHDS","126faa11"
"ALTICE","ceed7587"
"ALTMES","fcf8afc1"
"ALTRAI","f6189a8"
"ALTRAN","1264b910"
"ALTUSF","4b3bf83"
"ALUFP","a4888354"
"ALY","c613dfcb"
"ALYD","3da0f3c6"
"AM","53a8cb5c"
"AMAG","23af535f"
"AMAIND","6df3abe2"
"AMBCSC","deb24659"
"AMBWQ","cf78ebfa"
"AMC","c229f582"
"AMCARE","fbc2bdce"
"AMCELL","6f66056f"
"AMCENT","177c94b0"
"AMCLD","3510b078"
"AMCOM","23f7fb2d"
"AMCX","46b0f238"
"AMD","df2cc53a"
"AME","1470169f"
"AMEACH","f5ef40e0"
"AMECAS","4944a4ec"
"AMECEL","4f8b30b1"
"AMEGIL","c61543f"
"AMEGRE","4eb7cdc3"
"AMENUT","5cd53958"
"AMEPER","84636592"
"AMERCO","1ade4690"
"AMERIQ","87727a35"
"AMERTR","7eff595"
"AMES","4fa737c1"
"AMETEC","c8a3ba56"
"AMETIS","cd5d2b9"
"AMETPR","35cfd801"
"AMETRU","bf55f990"
"AMFGRP","2421622e"
"AMFM","47934eb7"
"AMI","63b2d6e4"
"AMID","96d46f96"
"AMISEM","1e58212b"
"AMKR","d4c49f39"
"AMLAW","8a5b321"
"AMOESC","e992a889"
"AMPAM","81fcb6b8"
"AMPETR","97c6ca99"
"AMPIPG","673d68ed"
"AMPP","fcd5f606"
"AMR","aa324bc"
"AMRLHD","d38eee08"
"AMRMED","7ef38f56"
"AMRSLT","818ceb07"
"AMSG","d3eedeb8"
"AMSIND","efc5c115"
"AMSN","f4e18f70"
"AMSTD","1d9a53fa"
"AMSV","1b640f86"
"AMT","dcfac7a1"
"AMTL","7c8e10f5"
"AMTR","4552731e"
"AMWD","a1358805"
"AMWOOD","d231922a"
"AMZG","46769b6b"
"AMZN","6179caa3"
"AN","d53cb9f2"
"ANCO","d6ecc7f8"
"ANDX","d98cb55"
"ANKER","9f6f335d"
"ANL","2975dca"
"ANN","4f5ffcc1"
"ANPCN","a97ae9fa"
"ANPI","5683a2b6"
"ANR","3b4b3e21"
"ANSCN","27f5ee19"
"ANTEON","30d02a42"
"ANTERO","fd8504e9"
"ANTHCR","18619707"
"ANTMID","217e27ab"
"ANTTEN","24b144b9"
"ANUE","73794d6a"
"ANVILK","28ac9ca5"
"AOI","f42dc7cd"
"AOR","9d3c3595"
"AOT","4b65d688"
"APA","89e8a987"
"APAM","658a54c3"
"APAMNA","6b243ef3"
"APC","c420088c"
"APCS","cbc92601"
"APEXTO","fb37f240"
"APFC","9a270b3d"
"APFH","f0e0fbfe"
"APGR","f4dad1b7"
"APGRD","db34fc37"
"APH","aee7f84f"
"APHOLD","42f00f4f"
"APL","3576ba59"
"APLP","bb152446"
"APN","78be1b52"
"APOLLZ","91c2068e"
"APP","416278b9"
"APPGF","d564d667"
"APPPAP","9e3edec"
"APRA","447e12eb"
"APS","c7f60a17"
"APSI","e5a9b32"
"APSO","d803782f"
"APU","11afe90a"
"APXSEC","4db91c31"
"APY","666d2971"
"AQUILE","fd8e1b75"
"AR","a1287b12"
"ARAGRP","96e5d582"
"ARBRES","bfde06e6"
"ARC","53bf19a5"
"ARCH","e0fdd324"
"ARCHER","8e82ece3"
"ARCHIB","4af4840c"
"ARCP","f7853d2"
"ARDENT","a5b8231c"
"ARDFIN","4cdd3b8c"
"ARDSEC","3b87d69"
"ARDX","268cef31"
"AREX","80fbe485"
"ARG","c82e5bb3"
"ARGID","901b1c85"
"ARGIHC","b6990d8f"
"ARGL","8f23b521"
"ARGOT","f01d2b24"
"ARGRP","6d85943c"
"ARICA","712cc04a"
"ARII","8fd15fcf"
"ARLP","f930233b"
"ARM","69b578d5"
"ARMAUT","e8885389"
"ARMK","3656dad7"
"ARMKEL","f1135379"
"ARMS","d9d35a21"
"ARNC","ebed4227"
"ARP","d6fd6990"
"ARS","50691b3e"
"ARSERV","80af5b15"
"ARTSNG","36ee29f4"
"ARTT","3690b384"
"ARUINV","464c16a"
"ARV","a48a8d"
"ARW","cbf85928"
"ARXX","86f2198b"
"AS","6a74a8b7"
"ASATEC","ac285a01"
"ASATFN","215e5342"
"ASCA","b588272"
"ASCLER","e50a8927"
"ASCMA","a7a8b39c"
"ASCRES","4767799b"
"ASD","e8cd22a9"
"ASH","9f0fe2d2"
"ASHWOO","5db6748c"
"ASIAAL","26b25190"
"ASLAU","216f8bc9"
"ASPECT","da813a9f"
"ASSASP","9b09d678"
"AST","eb1b2032"
"ASTONM","53a345c8"
"ASTOR","c30beab2"
"AT","7771980f"
"ATACN","208510a0"
"ATAH","b10dcb8a"
"ATCNA","f221c4c8"
"ATCOA","5456cf7c"
"ATD","2d6a1c27"
"ATEL","ded3ad8f"
"ATEN","931b0c84"
"ATENTO","48086a96"
"ATEXE","abd126ad"
"ATHCN","3fca0b8b"
